Rank,Movie,ReleaseDate,Distributor,Genre,2022 Gross,Tickets Sold
120,The Kashmir Files,"Mar 18, 2022",Zee Studios,Thriller/Suspense,"$1,485,000","161,941"
121,2000 Mules,"May 20, 2022",DâSouza Media,Documentary,"$1,465,512","159,815"
122,Running The Bases,"Sep 16, 2022",UP2U Films,Drama,"$1,445,996","157,687"
123,The Servant,"Mar 11, 2022",Rialto Pictures,Drama,"$1,417,550","154,585"
124,The Godfather,"Mar 15, 1972",Paramount Pictures,Drama,"$1,414,662","154,270"
125,Acharya,"Apr 28, 2022",Self Distributed,Action,"$1,412,000","153,980"
126,Medieval,"Sep 9, 2022",The Avenue Entert…,Action,"$1,374,325","149,871"
127,Rogue One: A Star Wars Story,"Dec 16, 2016",Walt Disney,Adventure,"$1,362,667","148,600"
128,Dune,"Oct 22, 2021",Warner Bros.,Action,"$1,151,687","125,592"
129,"Hallelujah: Leonard Cohen, …","Jul 1, 2022",Sony Pictures Cla…,Documentary,"$1,058,936","115,478"
130,The Contractor,"Apr 1, 2022",Paramount Pictures,Thriller/Suspense,"$1,035,265","112,896"
131,Fire of Love,"Jul 6, 2022",Neon,Documentary,"$1,007,610","109,881"
132,After Ever Happy,"Sep 7, 2022",Netflix,Drama,"$989,088","107,861"
133,The Beatles Get Back: The R…,"Jan 30, 2022",Walt Disney,Concert/Perfor…,"$976,712","106,511"
134,Venom: Let There be Carnage,"Oct 1, 2021",Sony Pictures,Action,"$941,330","102,653"
135,Twenty One Pilots: Cinema E…,"May 19, 2022",Trafalgar Releasing,Concert/Perfor…,"$875,000","95,419"
136,Hansan: Rising Dragon,"Jul 29, 2022",Well Go USA,Action,"$865,888","94,426"
137,The Tiger Rising,"Jan 21, 2022",The Avenue Entert…,Drama,"$835,162","91,075"
138,Petite maman,"Apr 22, 2022",Neon,Drama,"$829,065","90,410"
139,The Phantom of the Open,"Jun 3, 2022",Sony Pictures Cla…,Comedy,"$748,695","81,646"
140,Aline,"Nov 26, 2021",Roadside Attractions,Drama,"$667,815","72,826"
141,Triangle of Sadness,"Oct 7, 2022",Neon,Black Comedy,"$657,051","71,652"
142,Ante Sundaraniki,"Jun 9, 2022",Prime Media Pictures,Comedy,"$621,000","67,720"
143,The Roundup,"May 20, 2022",Capelight Pictures,Action,"$613,026","66,851"
